cairo_avg_temp,year
17.11,1808
19.87,1809
19.93,1810
20.00,1811
19.93,1812
20.51,1813
20.43,1814
20.30,1815
20.51,1816
21.88,1817
11.60,1818
20.31,1819
20.58,1820
20.63,1821
20.72,1822
20.71,1823
21.44,1824
21.00,1825
20.94,1826
21.63,1827
20.99,1828
20.91,1829
21.25,1830
20.52,1831
20.20,1832
20.81,1833
20.69,1834
20.17,1835
20.59,1836
20.27,1837
20.21,1838
20.43,1839
20.56,1840
20.91,1841
20.92,1842
20.83,1843
20.66,1844
20.90,1845
21.57,1846
21.10,1847
20.89,1848
20.90,1849
20.39,1850
21.11,1851
21.04,1852
21.53,1853
20.74,1854
21.04,1855
20.49,1856
20.29,1857
20.90,1858
20.98,1859
21.33,1860
20.21,1861
20.22,1862
20.60,1863
21.25,1864
21.55,1865
21.35,1866
21.45,1867
20.94,1868
21.41,1869
21.30,1870
20.87,1871
21.14,1872
21.40,1873
20.77,1874
19.99,1875
21.05,1876
21.39,1877
21.54,1878
21.49,1879
21.20,1880
21.56,1881
20.38,1882
20.65,1883
20.23,1884
20.91,1885
20.55,1886
21.21,1887
21.04,1888
21.05,1889
21.09,1890
21.13,1891
21.39,1892
20.57,1893
20.95,1894
20.97,1895
21.17,1896
20.82,1897
20.92,1898
21.04,1899
21.57,1900
21.89,1901
21.36,1902
20.39,1903
20.61,1904
21.03,1905
21.24,1906
20.45,1907
20.37,1908
21.40,1909
20.65,1910
20.78,1911
20.79,1912
20.40,1913
20.96,1914
21.57,1915
21.73,1916
21.12,1917
21.43,1918
21.43,1919
20.72,1920
20.73,1921
21.39,1922
21.39,1923
21.61,1924
21.37,1925
21.22,1926
21.76,1927
21.72,1928
21.07,1929
21.73,1930
21.60,1931
21.43,1932
21.24,1933
21.52,1934
21.61,1935
22.00,1936
21.82,1937
20.92,1938
21.85,1939
21.59,1940
21.76,1941
21.59,1942
21.35,1943
21.40,1944
20.83,1945
21.76,1946
21.94,1947
20.88,1948
20.68,1949
21.53,1950
21.82,1951
21.92,1952
21.17,1953
21.45,1954
22.10,1955
21.48,1956
21.49,1957
21.85,1958
20.98,1959
22.30,1960
21.14,1961
22.11,1962
22.09,1963
21.07,1964
21.52,1965
22.10,1966
20.92,1967
21.48,1968
21.88,1969
21.53,1970
21.41,1971
21.57,1972
21.42,1973
21.55,1974
21.35,1975
21.28,1976
21.57,1977
21.67,1978
22.06,1979
21.52,1980
21.42,1981
21.04,1982
20.75,1983
21.32,1984
21.72,1985
21.52,1986
21.24,1987
21.65,1988
21.43,1989
21.60,1990
21.65,1991
21.11,1992
21.79,1993
22.02,1994
21.56,1995
21.88,1996
21.45,1997
22.36,1998
22.28,1999
21.49,2000
22.33,2001
22.41,2002
22.17,2003
22.08,2004
22.01,2005
22.05,2006
22.36,2007
22.64,2008
22.63,2009
23.72,2010
21.99,2011
22.48,2012
22.91,2013
